,id,operations,order,full
0,0,0.0,0.0,0.0
2,0,"[[8, 1, 5, 7, 6, 4], [1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0], [9.0]]"
3,1,"[[8, 1, 5, 7, 6, 4], [8, 1, 3, 4, 9, 6], [1, 3, 2, 4, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
4,2,"[[1, 3, 4, 9, 6], [1, 5, 7, 6, 2], [5, 1, 8, 2]]",[1. 3. 4. 9. 5. 7. 6. 1. 8. 2.],"[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0], [8.0, 2.0]]"
5,3,"[[1, 3, 4, 9, 6], [5, 1, 8, 2], [1, 5, 7, 6, 2]]",[1. 3. 4. 9. 8. 1. 2. 5. 7. 6.],"[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0], [7.0, 6.0]]"
6,4,"[[8, 1, 3, 2, 4, 6], [8, 1, 5, 7, 2], [1, 3, 2, 4, 9, 6]]",[8. 1. 3. 2. 5. 7. 1. 4. 9. 6.],"[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0], [4.0, 9.0, 6.0]]"
7,5,"[[8, 1, 5, 7, 2], [8, 1, 3, 2, 4, 6], [1, 3, 2, 4, 9, 6]]",[8. 1. 5. 7. 3. 2. 1. 4. 9. 6.],"[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0], [9.0, 6.0]]"
8,6,"[[8, 1, 5, 7, 2], [1, 3, 2, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[8. 1. 5. 7. 1. 3. 2. 4. 9. 6.],"[[8.0, 1.0, 5.0, 7.0, 1.0], [3.0, 2.0, 4.0, 9.0, 6.0], []]"
9,7,"[[1, 3, 2, 4, 9, 6], [8, 1, 5, 7, 2], [8, 1, 3, 2, 4, 6]]",[1. 3. 2. 4. 9. 8. 1. 5. 7. 6.],"[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0], [6.0]]"
10,8,"[[9, 4, 3], [5, 1, 2], [8, 1, 5, 7, 6, 4]]",[9. 3. 1. 2. 8. 1. 5. 7. 6. 4.],"[[9.0, 3.0], [1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]"
11,9,"[[8, 1, 5, 7, 6, 4], [8, 1, 3, 2, 6], [1, 3, 4, 9, 6]]",[8. 1. 5. 7. 6. 3. 2. 1. 4. 9.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0], [4.0, 9.0]]"
12,10,"[[8, 1, 5, 7, 6, 4], [1, 3, 4, 9, 6], [8, 1, 3, 2, 6]]",[8. 1. 5. 7. 6. 3. 4. 9. 1. 2.],"[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0], [2.0]]"
13,11,"[[8, 1, 3, 2, 4, 6], [1, 5, 7, 2], [1, 3, 4, 9, 6]]",[8. 1. 3. 2. 5. 7. 1. 4. 9. 6.],"[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0], [4.0, 9.0, 6.0]]"
14,12,"[[1, 5, 7, 2], [8, 1, 3, 2, 4, 6], [1, 3, 4, 9, 6]]",[1. 5. 7. 8. 1. 3. 2. 4. 9. 6.],"[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0, 6.0]]"
15,13,"[[1, 5, 7, 2], [1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 3. 4. 9. 1. 8. 2. 6.],"[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0], [8.0, 2.0, 6.0]]"
16,14,"[[1, 3, 4, 9, 6], [1, 5, 7, 2], [8, 1, 3, 2, 4, 6]]",[1. 3. 4. 9. 5. 7. 1. 8. 2. 6.],"[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0], [8.0, 2.0, 6.0]]"
17,15,"[[8, 1, 3, 2, 4, 6], [1, 5, 7, 2], [8, 1, 3, 4, 9, 6]]",[1. 3. 2. 4. 5. 7. 1. 8. 9. 6.],"[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0], [8.0, 9.0, 6.0]]"
18,16,"[[1, 5, 7, 2], [8, 1, 3, 2, 4, 6], [8, 1, 3, 4, 9, 6]]",[1. 5. 7. 8. 1. 3. 2. 4. 9. 6.],"[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0], [9.0, 6.0]]"
19,17,"[[1, 5, 7, 2], [8, 1, 3, 4, 9, 6], [8, 1, 3, 2, 4, 6]]",[1. 5. 7. 8. 1. 9. 6. 3. 2. 4.],"[[1.0, 5.0, 7.0], [8.0, 1.0, 9.0, 6.0, 3.0], [2.0, 4.0]]"
20,18,"[[8, 1, 3, 4, 9, 6], [1, 5, 7, 2], [8, 1, 3, 2, 4, 6]]",[1. 3. 4. 9. 5. 7. 1. 8. 2. 6.],"[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0], [8.0, 2.0, 6.0]]"
